Lake ID	State	Station	Year	AirTemp_Mean_C	AirTemp_Max_C	AirTemp_Min_C	Rain_mm	Snow_mm	Source	Type
Prairie Pothole	North Dakota	USW00014919	2005	6	12	0.1	540.7		NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	2006	6.7	12.8	0.7	382.8		NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	2007	5.3	11.1	-0.6	511.2		NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	2008	3.9	10.2	-2.5	529.9		NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	2009	3.7	9.4	-2.1	367.8		NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	2010	5.3	10.7	-0.2	591.3		NOAA NCDC	LaNina
Prairie Pothole	North Dakota	USW00014919	2011	5.1	10.6	-0.4	555.2		NOAA NCDC	LaNina
Prairie Pothole	North Dakota	USW00014919	2012	7.1	13.4	0.8	328.4		NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	2013	3.8	9.7	-2.1	406.5		NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	2014	4.2	9.8	-1.4	535.1		NOAA NCDC	Neutral
Prairie Pothole	North Dakota	USW00014919	2015	6.5	12.6	0.5	569.1		NOAA NCDC	ElNino
Prairie Pothole	North Dakota	USW00014919	2016	7.1	12.8	1.4	665.4		NOAA NCDC	ElNino
Prairie Pothole	North Dakota	USW00014919	2017	5.9	11.8	-0.1	322.4		NOAA NCDC	Neutral
