siteCode,siteName,type,terrain,domainCode,stateCode,latitude,longitude
TOOL,"Toolik Field Station NEON",CORE,TERRESTRIAL,D18,AK,68.66109,-149.37047
TOOK,"Toolik Lake NEON",GRADIENT,AQUATIC,D18,AK,68.63069,-149.61064
TREE,"Treehaven NEON",GRADIENT,TERRESTRIAL,D05,WI,45.49369,-89.58571
UNDE,"University of Notre Dame Environmental Research Center NEON",CORE,TERRESTRIAL,D05,MI,46.23391,-89.53725
BIGC,"Upper Big Creek NEON",GRADIENT,AQUATIC,D17,CA,37.05972,-119.25755
BARR,"Utqiaġvik NEON",GRADIENT,TERRESTRIAL,D18,AK,71.28241,-156.61936
WALK,"Walker Branch NEON",CORE,AQUATIC,D07,TN,35.95738,-84.27925
WLOU,"West St Louis Creek NEON",GRADIENT,AQUATIC,D13,CO,39.89137,-105.91540
WREF,"Wind River Experimental Forest NEON",CORE,TERRESTRIAL,D16,WA,45.82049,-121.95191
YELL,"Yellowstone National Park NEON",CORE,TERRESTRIAL,D12,WY,44.95348,-110.53914
