Lake ID	State	Station	Year	AirTemp_Mean_C	AirTemp_Max_C	AirTemp_Min_C	Rain_mm	Snow_mm	Source	Type
Sunapee	New Hampshire	USC00431243	2007	6.6	13.4	-0.1	1239.3	2893	NOAA NCDC	Neutral
Sunapee	New Hampshire	USC00431243	2008	6.8	13.6	-0.1	1406.7	2826	NOAA NCDC	Neutral
Sunapee	New Hampshire	USC00431243	2009	6.4	13.3	-0.5	1219.2	2003	NOAA NCDC	Neutral
Sunapee	New Hampshire	USC00431243	2010	7.9	14.6	1.3	1257.9	1633	NOAA NCDC	LaNina
Sunapee	New Hampshire	USC00431243	2011	7.4	13.9	0.9	1583.8	2515	NOAA NCDC	LaNina
Sunapee	New Hampshire	USC00431243	2012	8.4	15.1	1.7	989.5		NOAA NCDC	Neutral
Sunapee	New Hampshire	USC00275868	2013	7.4	13.9	1	995.8		NOAA NCDC	Neutral
Sunapee	New Hampshire	USC00275868	2014	6.2	12.5	0	1264.3	1964	NOAA NCDC	Neutral
Sunapee	New Hampshire	USC00275868	2015	6.6	13.4	-0.2	952	1693	NOAA NCDC	ElNino
Sunapee	New Hampshire	USC00275868	2016	7.6	14.1	1.1	814.3	1196	NOAA NCDC	ElNino
Sunapee	New Hampshire	USC00275868	2017	7.3	13.5	1	1053.5	2428	NOAA NCDC	Neutral
