sample filter reads k_reads
S30_R1.fastq.gz rm_chimera 487 0.487
S31_R1.fastq.gz reads.in 1000 1
S31_R1.fastq.gz trimmed 569 0.569
S31_R1.fastq.gz denoisedF 524 0.524
S31_R1.fastq.gz denoisedR 527 0.527
S31_R1.fastq.gz merged 518 0.518
S31_R1.fastq.gz rm_chimera 518 0.518
S33_R1.fastq.gz reads.in 1000 1
S33_R1.fastq.gz trimmed 481 0.481
S33_R1.fastq.gz denoisedF 439 0.439
S33_R1.fastq.gz denoisedR 441 0.441
S33_R1.fastq.gz merged 388 0.388
S33_R1.fastq.gz rm_chimera 388 0.388
S34_R1.fastq.gz reads.in 1000 1
S34_R1.fastq.gz trimmed 644 0.644
S34_R1.fastq.gz denoisedF 637 0.637
S34_R1.fastq.gz denoisedR 631 0.631
S34_R1.fastq.gz merged 587 0.587
S34_R1.fastq.gz rm_chimera 587 0.587
S35_R1.fastq.gz reads.in 1000 1
S35_R1.fastq.gz trimmed 558 0.558
S35_R1.fastq.gz denoisedF 532 0.532
S35_R1.fastq.gz denoisedR 540 0.54
S35_R1.fastq.gz merged 531 0.531
S35_R1.fastq.gz rm_chimera 531 0.531
S36_R1.fastq.gz reads.in 1000 1
S36_R1.fastq.gz trimmed 453 0.453
S36_R1.fastq.gz denoisedF 443 0.443
S36_R1.fastq.gz denoisedR 433 0.433
S36_R1.fastq.gz merged 300 0.3
S36_R1.fastq.gz rm_chimera 300 0.3
S37_R1.fastq.gz reads.in 1000 1
S37_R1.fastq.gz trimmed 445 0.445
S37_R1.fastq.gz denoisedF 388 0.388
S37_R1.fastq.gz denoisedR 371 0.371
S37_R1.fastq.gz merged 298 0.298
S37_R1.fastq.gz rm_chimera 298 0.298
S39_R1.fastq.gz reads.in 1000 1
S39_R1.fastq.gz trimmed 520 0.52
S39_R1.fastq.gz denoisedF 434 0.434
S39_R1.fastq.gz denoisedR 445 0.445
S39_R1.fastq.gz merged 325 0.325
S39_R1.fastq.gz rm_chimera 325 0.325
S4_R1.fastq.gz reads.in 1000 1
S4_R1.fastq.gz trimmed 425 0.425
S4_R1.fastq.gz denoisedF 376 0.376
S4_R1.fastq.gz denoisedR 350 0.35
S4_R1.fastq.gz merged 296 0.296
S4_R1.fastq.gz rm_chimera 296 0.296
S41_R1.fastq.gz reads.in 1000 1
S41_R1.fastq.gz trimmed 516 0.516
S41_R1.fastq.gz denoisedF 485 0.485
S41_R1.fastq.gz denoisedR 477 0.477
S41_R1.fastq.gz merged 331 0.331
S41_R1.fastq.gz rm_chimera 331 0.331
S42_R1.fastq.gz reads.in 1000 1
S42_R1.fastq.gz trimmed 446 0.446
S42_R1.fastq.gz denoisedF 355 0.355
S42_R1.fastq.gz denoisedR 363 0.363
S42_R1.fastq.gz merged 297 0.297
S42_R1.fastq.gz rm_chimera 297 0.297
S43_R1.fastq.gz reads.in 1000 1
S43_R1.fastq.gz trimmed 500 0.5
S43_R1.fastq.gz denoisedF 474 0.474
S43_R1.fastq.gz denoisedR 478 0.478
S43_R1.fastq.gz merged 459 0.459
S43_R1.fastq.gz rm_chimera 459 0.459
S44_R1.fastq.gz reads.in 1000 1
S44_R1.fastq.gz trimmed 369 0.369
S44_R1.fastq.gz denoisedF 300 0.3
S44_R1.fastq.gz denoisedR 286 0.286
S44_R1.fastq.gz merged 165 0.165
S44_R1.fastq.gz rm_chimera 165 0.165
S45_R1.fastq.gz reads.in 1000 1
S45_R1.fastq.gz trimmed 359 0.359
S45_R1.fastq.gz denoisedF 315 0.315
S45_R1.fastq.gz denoisedR 297 0.297
S45_R1.fastq.gz merged 286 0.286
S45_R1.fastq.gz rm_chimera 286 0.286
S46_R1.fastq.gz reads.in 1000 1
S46_R1.fastq.gz trimmed 539 0.539
S46_R1.fastq.gz denoisedF 449 0.449
S46_R1.fastq.gz denoisedR 485 0.485
S46_R1.fastq.gz merged 336 0.336
S46_R1.fastq.gz rm_chimera 336 0.336
S47_R1.fastq.gz reads.in 1000 1
S47_R1.fastq.gz trimmed 501 0.501
